Dates;PX_LAST;PX_BID;PX_ASK
09.09.2011;132,25;130,75;132,25
12.09.2011;135,75;134,25;135,75
13.09.2011;132,25;130,75;132,25
14.09.2011;129,75;128,75;129,75
15.09.2011;125,75;124,25;125,75
16.09.2011;126,5;125;126,5
19.09.2011;128,125;127,125;128,125
20.09.2011;134,5;133,5;134,5
21.09.2011;141,75;140,75;141,75
22.09.2011;145,5;144,5;145,5
23.09.2011;142,5;141,5;142,5
26.09.2011;137,125;136,125;137,125
27.09.2011;136,75;135,75;136,75
28.09.2011;142;140,5;142
29.09.2011;139,75;138,75;139,75
30.09.2011;145,25;143,75;145,25
03.10.2011;151,5;150,5;151,5
04.10.2011;149,5;148;149,5
05.10.2011;145,5;144,5;145,5
06.10.2011;139,75;138,25;139,75
07.10.2011;139,75;138,25;139,75
11.10.2011;136;135;136
12.10.2011;131;130;131
13.10.2011;132,994;132,007;132,994
14.10.2011;130,5;129,5;130,5
17.10.2011;135,5;134,5;135,5
18.10.2011;133;132;133
19.10.2011;135;134;135
20.10.2011;134,25;133,25;134,25
21.10.2011;131,75;130,75;131,75
24.10.2011;126,584;125,667;126,584
25.10.2011;130,084;129,167;130,084
26.10.2011;126,334;125,417;126,334
27.10.2011;114,084;113,167;114,084
28.10.2011;114,25;113,25;114,25
31.10.2011;122;121;122
01.11.2011;127,25;126,25;127,25
02.11.2011;125,834;124,917;125,834
03.11.2011;120,908;119,908;120,908
04.11.2011;123,75;122,75;123,75
07.11.2011;123,626;123,167;124,084
08.11.2011;121,251;120,834;121,667
09.11.2011;130,125;129,625;130,625
10.11.2011;129,75;129,25;130,25
14.11.2011;129,625;129,125;130,125
15.11.2011;132,501;132,042;132,959
16.11.2011;134,875;134,375;135,375
17.11.2011;136,626;136,167;137,084
18.11.2011;136;135,5;136,5
21.11.2011;140,75;140,25;141,25
22.11.2011;140,75;140,25;141,25
23.11.2011;146,125;145,627;146,624
25.11.2011;147,5;147;148
28.11.2011;141;140,5;141,5
29.11.2011;140,167;139,584;140,75
