,Company Name,Date,Curr Rtg,Industry Type,years
0,Kansas Gas & Electric Co,2000-01-03,2,Electricity Networks,0.0
1,Kansas Gas & Electric Co,2000-03-29,3,Electricity Networks,0.23546000260101166
2,Kansas Gas & Electric Co,2000-05-19,3,Electricity Networks,0.37509325995742554
3,Kansas Gas & Electric Co,2000-11-09,3,Electricity Networks,0.8514890791734259
4,Kansas Gas & Electric Co,2001-07-25,3,Electricity Networks,1.5578690869764609
5,Kansas Gas & Electric Co,2001-10-19,3,Electricity Networks,1.7933290895774725
6,Kansas Gas & Electric Co,2002-11-05,3,Electricity Networks,2.8392095662470824
7,Kansas Gas & Electric Co,2003-02-06,3,Electricity Networks,3.0938349178970137
8,Kansas Gas & Electric Co,2007-02-27,2,Electricity Networks,7.151413102253982
9,Kansas Gas & Electric Co,2010-04-27,2,Electricity Networks,10.313695695325709
10,Kansas Gas & Electric Co,2014-04-29,2,Electricity Networks,14.319253646549896
11,Starwood Hotels & Resorts Worldwide LLC,2000-01-03,3,Hotels (excluding Casino Hotels) & Motels,0.0
12,Starwood Hotels & Resorts Worldwide LLC,2000-07-27,2,Hotels (excluding Casino Hotels) & Motels,0.5640088434396325
13,Starwood Hotels & Resorts Worldwide LLC,2001-09-21,2,Hotels (excluding Casino Hotels) & Motels,1.7166676933817944
15,Starwood Hotels & Resorts Worldwide LLC,2002-04-19,2,Hotels (excluding Casino Hotels) & Motels,2.291628164849381
16,Starwood Hotels & Resorts Worldwide LLC,2002-12-20,2,Hotels (excluding Casino Hotels) & Motels,2.9624153815615655
17,Starwood Hotels & Resorts Worldwide LLC,2003-05-06,3,Hotels (excluding Casino Hotels) & Motels,3.337508641518991
18,Starwood Hotels & Resorts Worldwide LLC,2004-01-07,3,Hotels (excluding Casino Hotels) & Motels,4.011033765238164
19,Starwood Hotels & Resorts Worldwide LLC,2005-01-27,3,Hotels (excluding Casino Hotels) & Motels,5.067865869935727
20,Starwood Hotels & Resorts Worldwide LLC,2006-07-26,2,Hotels (excluding Casino Hotels) & Motels,6.560025188744464
21,Starwood Hotels & Resorts Worldwide LLC,2008-10-23,2,Hotels (excluding Casino Hotels) & Motels,8.80510893447504
22,Starwood Hotels & Resorts Worldwide LLC,2008-12-22,3,Hotels (excluding Casino Hotels) & Motels,8.969383354894351
23,Starwood Hotels & Resorts Worldwide LLC,2009-04-16,3,Hotels (excluding Casino Hotels) & Motels,9.284242660698029
