,Company Name,Date,Curr Rtg,Industry Type,years,Year,GDP,PX_LAST
0,Kansas Gas & Electric Co,2014-04-29,2,Electricity Networks,14.319253646549896,2014,0.042004617799445976,-0.1949118628986053
1,Westar Energy Inc,2014-04-29,2,Integrated Utilities,14.319253646549896,2014,0.042004617799445976,-0.1949118628986053
2,Kansas City Power & Light Co,2014-05-01,2,Electricity Marketing - Wholesale,14.324729460563871,2014,0.042004617799445976,-0.1949118628986053
3,Tucson Electric Power Co,2014-10-28,2,Integrated Utilities,14.814814814814815,2014,0.042004617799445976,-0.1949118628986053
4,Louisville Gas & Electric Co,2014-06-10,2,Integrated Utilities,14.423294112815459,2014,0.042004617799445976,-0.1949118628986053
5,Kentucky Utilities Co,2014-06-10,2,Integrated Utilities,14.423294112815459,2014,0.042004617799445976,-0.1949118628986053
6,LG&E & KU Energy LLC,2014-06-10,2,Integrated Utilities,14.423294112815459,2014,0.042004617799445976,-0.1949118628986053
7,Time Warner Entertainment Co LP,2014-02-13,2,Cable & Satellite,14.094745271976837,2014,0.042004617799445976,-0.1949118628986053
8,Aquarion Co,2014-08-19,2,Water Networks,14.6039959752767,2014,0.042004617799445976,-0.1949118628986053
9,Athene Life Insurance Co of New York,2014-11-24,2,Life Insurance,14.866835047947596,2014,0.042004617799445976,-0.1949118628986053
10,Levi Strauss & Co,2014-03-14,3,Apparel Design,14.163192947151549,2014,0.042004617799445976,-0.1949118628986053
11,Amphenol Corp,2014-04-30,2,Electronic Connectors Manufacturing,14.29187457648001,2014,0.042004617799445976,-0.1949118628986053
12,Fidelity National Title Insurance Co,2014-10-30,1,Property & Casualty Insurance,14.779222023723964,2014,0.042004617799445976,-0.1949118628986053
13,DaVita Inc,2014-06-04,3,Kidney Dialysis Centers,14.374011786689666,2014,0.042004617799445976,-0.1949118628986053
14,Hexcel Corp,2014-04-09,3,Aircraft & Parts Manufacturing,14.21795108729132,2014,0.042004617799445976,-0.1949118628986053
15,Hexcel Corp,2014-05-22,2,Aircraft & Parts Manufacturing,14.335681088591826,2014,0.042004617799445976,-0.1949118628986053
16,ONEOK Inc,2014-02-03,3,Natural Gas Liquids Pipelines,14.029035503809114,2014,0.042004617799445976,-0.1949118628986053
17,Susquehanna Bancshares Inc,2014-07-07,2,Banks,14.447935275878354,2014,0.042004617799445976,-0.1949118628986053
18,Susquehanna Bancshares Inc,2014-11-12,2,Banks,14.798387372772885,2014,0.042004617799445976,-0.1949118628986053
19,Kerr-McGee Corp,2014-04-07,2,Exploration & Production,14.196047831235413,2014,0.042004617799445976,-0.1949118628986053
20,Kerr-McGee Corp,2014-11-13,2,Exploration & Production,14.798387372772885,2014,0.042004617799445976,-0.1949118628986053
21,Citrix Systems Inc,2014-06-09,2,Cloud & Virtualization,14.343894809612792,2014,0.042004617799445976,-0.1949118628986053
22,JDN Realty Corp,2014-08-12,2,Shopping Center REIT,14.491741787990172,2014,0.042004617799445976,-0.1949118628986053
23,Lennar Corp,2014-08-19,3,Single Family Home Construction,14.502693416018126,2014,0.042004617799445976,-0.1949118628986053
24,Cable & Wireless Communications Ltd,2014-11-06,3,Mobile Data Services,14.716250162563227,2014,0.042004617799445976,-0.1949118628986053
25,Bank of the West,2014-06-04,1,Banks,14.291874576480009,2014,0.042004617799445976,-0.1949118628986053
26,Bank of the West,2014-07-03,1,Banks,14.371273879682676,2014,0.042004617799445976,-0.1949118628986053
27,Agilent Technologies Inc,2014-09-16,2,Analytical Lab Equipment Manufacturing,14.56566527717886,2014,0.042004617799445976,-0.1949118628986053
28,Sotheby's,2014-01-29,3,Auction Houses & Art Dealers,13.935946665571505,2014,0.042004617799445976,-0.1949118628986053
29,Service Corp International/US,2014-11-11,3,Funeral Services,14.718988069570218,2014,0.042004617799445976,-0.1949118628986053
30,McDermott International Inc,2014-04-03,3,Diversified Oilfield Services,14.111172714018767,2014,0.042004617799445976,-0.1949118628986053
31,McDermott International Inc,2014-11-26,3,Diversified Oilfield Services,14.760056674675045,2014,0.042004617799445976,-0.1949118628986053
32,Brixmor LLC,2014-05-12,3,Retail Owners & Developers,14.212475273277343,2014,0.042004617799445976,-0.1949118628986053
